feature 1	feature 2	label
-8.46474566749125	-3.4551712306838724	1.0
-9.932338527273243	-2.3195522765811964	1.0
-9.308330949000121	-1.9725388001759476	1.0
-4.746683077661641	0.7201100470593967	2.0
-10.220761178876565	-3.935043950257344	1.0
-8.186766939593609	-4.069276056689413	4.0
-9.789368648928377	-5.185189474303094	4.0
-9.062207453338333	-2.4367067341350994	1.0
-3.572952863395175	-5.939730700076259	3.0
-2.8846711997995005	-0.9130229118005555	2.0
-4.2783996733110605	-4.170169802327127	3.0
8.588006426269569	-8.060170197279753	0.0
-6.310060361676605	-5.075349040374748	4.0
-2.7217020111455	-4.446112664788474	3.0
-9.385017292422317	-1.941578155541372	1.0
6.788272583335844	-4.753058230240583	0.0
-9.200064597833306	-3.904622511089466	4.0
-8.420623457766602	-3.8663918399902126	4.0
-3.494047965974741	1.6142075837295273	2.0
-3.2216781095605946	0.40477511887686635	2.0
-7.918534673379097	-4.071842802469581	1.0
-7.105617015251151	-5.480838701325617	4.0
-7.956426269616752	-4.622106623206675	4.0
-9.040034250227814	-2.754952658526462	1.0
7.1529683986979755	-6.2494774714078405	0.0
-7.955677872667829	-3.0051092629870517	1.0
-7.3998965592710215	-4.450774350110178	4.0
7.428602593934569	-6.247964970612402	0.0
5.729287780995291	-6.164616777019558	0.0
-4.184357516766169	-4.851364384307457	3.0
-8.155209687582868	-3.755009556773008	1.0
-3.268326679784585	-3.8005336697700436	3.0
-3.361554102067836	-0.4050939978208401	2.0
-5.007093306833447	-4.379686307734135	3.0
-3.6671960500596366	0.9754292102868202	2.0
6.360881824379177	-6.821065769616279	0.0
5.848471484929072	-5.250957655527016	0.0
6.41137550800813	-5.822690811424062	0.0
-2.7078211941271118	-4.509281083814764	3.0
-8.522865306545906	-5.444910465350092	1.0
-8.690429710121107	-2.4345296881200134	1.0
-3.875768021449491	-0.5185495393954709	2.0
-5.1372107474061615	0.14564099625171556	2.0
-11.643484308109908	-2.8213043459259213	1.0
-6.328977756507893	1.372109702914833	2.0
-4.0833387837924615	1.2671992470258515	2.0
-4.264009880267053	0.7237196733263116	2.0
-7.954602760005929	-5.29588500255644	4.0
-5.802188355354334	1.4254888422685066	2.0
-8.394935723795186	-5.810582493927523	4.0
-5.146809921379843	-4.31279285339794	3.0
7.3168084275022	-6.338656157553225	0.0
-4.9841488323915035	0.011456290579565542	2.0
7.533406391334219	-6.796852180652066	0.0
7.331399989660262	-3.979231586956513	0.0
6.655200596514973	-7.876719247017914	0.0
7.681426644111889	-5.997323939268279	0.0
-8.13797045866119	-3.0837391379627204	1.0
-6.40559917170836	-6.813075537742988	4.0
-8.678387847540439	-2.3549775644840096	1.0
5.406868398548949	-6.741917014067734	0.0
-4.259498980490977	0.8944908247810336	2.0
-5.423535904354548	-0.5609997167190073	2.0
6.19374498761278	-6.6724021986193565	0.0
6.541099629452242	-5.2040761860566995	0.0
6.868484565665489	-5.288458294288638	0.0
-8.060656575071285	-4.606440723576881	4.0
7.227802830646007	-7.90393044011745	0.0
-7.07910111927432	-7.111526505658764	4.0
7.1448413364181045	-6.3286000559706705	0.0
-3.837253726181046	-4.078276622941312	3.0
-3.4016411302894927	-4.328966661043057	3.0
-7.5516719790064535	-1.1208853053172514	1.0
-7.646688134007957	-4.35845092768349	4.0
-6.846209168832455	-3.9650148373578893	1.0
-3.472407252733206	2.294177357448635	2.0
7.493353657403601	-5.980726831900065	0.0
-7.369592484146036	-4.264996272125387	1.0
